                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.68285,                0.49075,                0.91962,                0.94276,                0.95883,                0.97546,                0.82095,                0.62232,                0.45004,                0.87939,              0.0015746,              0.0015746,              0.0015746
                     58,                0.66242,                0.51471,                0.88326,                0.92143,                0.92552,                0.97003,                0.81541,                0.63371,                 0.4872,                0.88382,              0.0015729,              0.0015729,              0.0015729
                     59,                0.65387,                0.45193,                0.89103,                0.94582,                0.93912,                 0.9678,                0.80875,                0.64762,                0.45753,                0.89003,              0.0015713,              0.0015713,              0.0015713
                     60,                0.66074,                0.45571,                0.90559,                0.94319,                0.94316,                0.96054,                0.80898,                0.63039,                0.47204,                0.88719,              0.0015696,              0.0015696,              0.0015696
                     61,                0.68249,                0.48999,                0.89625,                0.94988,                0.94314,                0.95817,                 0.8131,                0.61287,                0.45044,                0.88184,               0.001568,               0.001568,               0.001568
                     62,                0.67751,                0.45007,                0.90795,                0.94988,                0.94314,                0.95817,                 0.8131,                0.61287,                0.45044,                0.88184,              0.0015663,              0.0015663,              0.0015663
                     63,                0.62983,                0.42812,                0.86491,                0.94264,                0.96239,                 0.9606,                0.80948,                0.63744,                0.46548,                0.89281,              0.0015647,              0.0015647,              0.0015647
                     64,                0.62519,                0.44094,                0.87242,                0.95292,                0.95801,                 0.9668,                0.82599,                 0.6123,                0.44074,                0.88258,               0.001563,               0.001563,               0.001563
                     65,                0.62923,                0.45765,                0.86791,                0.94792,                0.97051,                0.97283,                0.83844,                0.58873,                0.41842,                0.87642,              0.0015614,              0.0015614,              0.0015614
                     66,                0.64735,                0.42743,                0.88497,                0.95587,                0.96795,                0.97529,                0.82795,                0.63881,                 0.4182,                0.88646,              0.0015597,              0.0015597,              0.0015597
                     67,                 0.6179,                0.43509,                0.88405,                0.95518,                0.96639,                0.97243,                0.82988,                0.62186,                0.43966,                0.88441,              0.0015581,              0.0015581,              0.0015581
                     68,                0.61926,                0.43019,                0.88197,                0.96544,                0.95513,                0.97109,                  0.836,                0.57671,                0.43228,                0.86955,              0.0015564,              0.0015564,              0.0015564
                     69,                0.64778,                0.44066,                0.89538,                0.96063,                0.95748,                0.97018,                 0.8366,                 0.5979,                0.43228,                0.87076,              0.0015548,              0.0015548,              0.0015548
                     70,                0.63247,                0.41107,                0.86404,                0.96063,                0.95748,                0.97018,                 0.8366,                 0.5979,                0.43228,                0.87076,              0.0015531,              0.0015531,              0.0015531
                     71,                0.66885,                0.43779,                 0.8847,                0.95944,                0.96463,                0.97509,                0.84923,                0.56858,                0.41568,                0.86454,              0.0015515,              0.0015515,              0.0015515
                     72,                0.60098,                0.41835,                0.87652,                0.95983,                0.96912,                 0.9745,                0.84447,                0.57067,                0.41422,                0.86575,              0.0015498,              0.0015498,              0.0015498
                     73,                0.63754,                0.43942,                0.88963,                0.95573,                0.97308,                0.97227,                0.84122,                0.58655,                0.41844,                0.86952,              0.0015482,              0.0015482,              0.0015482
                     74,                0.61558,                0.41043,                0.88192,                0.96223,                0.96282,                0.97179,                0.85234,                0.55972,                0.41053,                0.86157,              0.0015465,              0.0015465,              0.0015465
                     75,                0.62374,                0.40965,                0.87358,                0.95753,                0.96026,                0.96333,                0.83177,                0.60655,                0.42111,                0.87356,              0.0015449,              0.0015449,              0.0015449
                     76,                0.68967,                0.42495,                0.89621,                0.94586,                0.96282,                0.96281,                0.83769,                0.60468,                  0.424,                0.87302,              0.0015432,              0.0015432,              0.0015432
                     77,                0.64826,                0.41182,                0.86141,                 0.9575,                0.95726,                0.96736,                0.84515,                0.58886,                0.40909,                0.86432,              0.0015416,              0.0015416,              0.0015416
                     78,                0.62252,                0.39481,                0.85662,                 0.9575,                0.95726,                0.96736,                0.84515,                0.58886,                0.40909,                0.86432,              0.0015399,              0.0015399,              0.0015399
                     79,                0.68852,                0.44475,                 0.9159,                0.96981,                 0.9684,                0.96743,                0.84418,                0.57033,                0.41698,                  0.859,              0.0015383,              0.0015383,              0.0015383
                     80,                0.61321,                0.41548,                0.88284,                0.98168,                0.95726,                0.96591,                0.84752,                0.55906,                0.41709,                0.85688,              0.0015366,              0.0015366,              0.0015366
